No.,Slop_angle,Coefficient restitution,Friction Angle,ĵ_W,ĵ_B&G,ĵ_A,ĵ_R2,X_ave,X_95,X_cv,Z_ave,Z_95,Z_cv,R/T
410,60,0.3,30,0.757902263,0.30656967,0.318285768,0.615080006,53.38131196,99.80556022,0.432046218,11.29073965,23.01618105,0.795579227,0.05519544
411,60,0.3,30,0.785582178,0.316227766,0.301975273,0.572957795,43.38484002,70.25732228,0.281122174,7.709329601,30.57740526,1.047532217,0.03721578
412,60,0.3,30,0.697468411,0.229415734,0.207545578,0.502594557,43.4309939,78.38842029,0.312127448,10.65939362,26.83306479,0.684883188,0.02779359
413,60,0.3,30,0.724535006,0.295656198,0.428234729,0.784142904,53.03690489,98.373843,0.442195924,11.69051567,35.65322723,0.766783775,0.04784431
414,60,0.3,30,0.742659835,0.316227766,0.452962909,0.794179167,47.34583534,92.29634415,0.403166497,7.135511903,26.20707342,0.959201844,0.03667879
415,60,0.3,40,0.805995977,0.577350269,0.367552597,0.636619772,54.54383969,94.68583691,0.389896418,14.78994626,52.15720909,0.901977305,0.08399556
416,60,0.3,40,0.851298292,0.680413817,0.579959658,0.816927334,102.3638279,171.4368756,0.396736422,37.0275476,84.70894068,0.708689023,0.1904388
417,60,0.3,40,0.904997185,0.707106781,0.562697698,0.753129277,77.31834135,127.972895,0.404935439,21.39713967,70.96456658,0.876858598,0.1596525
418,60,0.3,40,0.767663317,0.40824829,0.259898934,0.530516477,53.34540273,96.79359343,0.364820484,13.15755888,33.35283659,0.825679039,0.05964725
419,60,0.3,40,0.807248973,0.440225453,0.314147679,0.572464291,63.67962587,105.9972251,0.37612394,15.76888252,42.04082371,0.786115383,0.1235695
420,60,0.3,40,0.849754169,0.447213595,0.284705017,0.509295818,59.00288456,103.6097344,0.39466293,14.33232009,44.94092261,0.826888751,0.1119888
421,60,0.3,40,0.761618473,0.333333333,0.282942121,0.565884242,52.38718938,95.23384647,0.369174448,13.04043388,32.03462654,0.857429964,0.06739174
422,60,0.3,40,0.798975017,0.421075961,0.549819004,0.840001313,70.58460813,122.9899834,0.435854915,20.95261292,57.04247589,0.849649389,0.1190643
423,60,0.3,40,0.836593725,0.447213595,0.569410035,0.821174538,58.25124234,96.75950536,0.409022982,13.53926422,47.00462384,0.943876311,0.08427482
424,60,0.3,40,0.718516797,0.301511345,0.157048432,0.405121673,45.34650473,76.61795641,0.344565009,10.50849197,30.84955859,0.976519259,0.05146779
425,60,0.3,40,0.752255969,0.313727903,0.170552898,0.408827807,54.17131496,92.55157578,0.334954628,14.23735237,35.23503216,0.77590825,0.09163886
426,60,0.3,40,0.784225984,0.316227766,0.150987636,0.361564983,50.67309767,75.77155502,0.350755879,12.65987729,28.2008825,0.73833472,0.07276338
427,60,0.3,40,0.725820022,0.267261242,0.218756303,0.50020125,50.60844343,90.7018634,0.39631255,13.20504937,34.9697656,0.876349319,0.06132192
428,60,0.3,40,0.757902263,0.30656967,0.318285768,0.615080006,55.67318328,95.46686875,0.410531626,11.06126418,24.92576256,0.781111639,0.08828297
429,60,0.3,40,0.785582178,0.316227766,0.301975273,0.572957795,48.35254794,83.18156683,0.390441886,11.11158622,22.52446418,0.916595843,0.069797
430,60,0.3,40,0.697468411,0.229415734,0.207545578,0.502594557,51.4307206,94.151023,0.405376636,12.31601424,28.52324728,0.759198116,0.0644202
431,60,0.3,40,0.724535006,0.295656198,0.428234729,0.784142904,52.96896621,97.11276554,0.434767575,13.71967444,36.58886789,0.814267493,0.07949654
432,60,0.3,40,0.742659835,0.316227766,0.452962909,0.794179167,47.2064714,87.39302864,0.456749437,11.86159897,38.50919263,0.936590567,0.06311845
433,60,0.5,20,0.805995977,0.577350269,0.367552597,0.636619772,76.81202345,103.7425709,0.21805217,18.12627428,35.81970907,0.526211141,0.03911013
434,60,0.5,20,0.851298292,0.680413817,0.579959658,0.816927334,104.3146822,183.5871912,0.405967345,31.74325211,80.89278429,0.710361643,0.06830712
435,60,0.5,20,0.904997185,0.707106781,0.562697698,0.753129277,89.67959428,140.9000926,0.310067314,21.13810937,55.71668397,0.777101286,0.06786886
436,60,0.5,20,0.767663317,0.40824829,0.259898934,0.530516477,67.77964637,89.687331,0.224295178,18.00088559,45.46091191,0.752700821,0.02560826
437,60,0.5,20,0.807248973,0.440225453,0.314147679,0.572464291,70.83257956,111.2582052,0.319846075,18.68354143,46.20864249,0.78334499,0.0570631
438,60,0.5,20,0.849754169,0.447213595,0.284705017,0.509295818,75.87675793,121.8420973,0.344338148,14.48304222,29.8170434,0.726192289,0.05342655
439,60,0.5,20,0.761618473,0.333333333,0.282942121,0.565884242,61.18340383,98.88653627,0.289163511,18.5144109,37.00669392,0.562263759,0.03854259
440,60,0.5,20,0.798975017,0.421075961,0.549819004,0.840001313,70.29181505,115.0056661,0.365492886,18.59335969,45.02068437,0.716674129,0.0562922
441,60,0.5,20,0.836593725,0.447213595,0.569410035,0.821174538,66.45918841,122.3100782,0.37493435,16.02326192,37.0790922,0.834477682,0.03835438
442,60,0.5,20,0.718516797,0.301511345,0.157048432,0.405121673,52.65199317,63.7159864,0.165664416,12.06856348,36.56327408,0.906899354,0.01897044
443,60,0.5,20,0.752255969,0.313727903,0.170552898,0.408827807,57.52011741,86.10726269,0.285559112,13.62582089,32.38639914,0.684563758,0.05020398
444,60,0.5,20,0.784225984,0.316227766,0.150987636,0.361564983,57.95540954,104.4343909,0.384400448,13.97419716,32.14078048,0.81868568,0.03749084
445,60,0.5,20,0.725820022,0.267261242,0.218756303,0.50020125,52.66365716,80.84382564,0.275987458,14.13181349,26.35519641,0.594871871,0.03492452
446,60,0.5,20,0.757902263,0.30656967,0.318285768,0.615080006,59.0618186,103.4228678,0.396729449,15.51355389,36.62412912,0.808962472,0.0402182
447,60,0.5,20,0.785582178,0.316227766,0.301975273,0.572957795,60.61656282,104.5757074,0.375066206,11.68795802,30.03786954,0.908121787,0.03486711
448,60,0.5,20,0.697468411,0.229415734,0.207545578,0.502594557,51.14431852,96.43789095,0.322479577,13.98857452,26.31612515,0.551894231,0.03034325
449,60,0.5,20,0.724535006,0.295656198,0.428234729,0.784142904,53.1576208,107.804248,0.415859438,10.91202293,28.56554711,0.817729333,0.03644904
450,60,0.5,20,0.742659835,0.316227766,0.452962909,0.794179167,54.55690916,95.66067869,0.330670151,9.572850393,20.00748333,1.038929398,0.02594504
451,60,0.5,30,0.805995977,0.577350269,0.367552597,0.636619772,65.85165174,101.9767716,0.369410486,16.99847863,47.75725878,0.824278667,0.06042972
452,60,0.5,30,0.851298292,0.680413817,0.579959658,0.816927334,118.187793,211.6298195,0.473669915,42.04062557,103.4516969,0.729625032,0.1439655
453,60,0.5,30,0.904997185,0.707106781,0.562697698,0.753129277,87.86247909,153.9198955,0.456412144,30.25547874,77.24763889,0.778723067,0.1131461
454,60,0.5,30,0.767663317,0.40824829,0.259898934,0.530516477,61.26212109,104.0251878,0.329086896,18.10058918,46.86579202,0.890752007,0.03643529
455,60,0.5,30,0.807248973,0.440225453,0.314147679,0.572464291,76.22470202,134.8484315,0.432498272,24.81570272,65.76324113,0.798347827,0.09277337
456,60,0.5,30,0.849754169,0.447213595,0.284705017,0.509295818,65.78006436,111.926868,0.464410434,17.43963582,40.70607926,0.907024824,0.1026201
457,60,0.5,30,0.761618473,0.333333333,0.282942121,0.565884242,65.56028803,124.7157055,0.413145387,20.67040515,42.98677056,0.703963275,0.0616795
458,60,0.5,30,0.798975017,0.421075961,0.549819004,0.840001313,79.71849724,142.8381128,0.444237642,28.97110603,66.70043629,0.695283161,0.08372436
459,60,0.5,30,0.836593725,0.447213595,0.569410035,0.821174538,69.14008702,132.6710705,0.439192594,22.31196871,62.42154536,0.778379254,0.05550323
460,60,0.5,30,0.718516797,0.301511345,0.157048432,0.405121673,53.26988018,90.08159829,0.342671376,15.46672602,41.97477298,0.876221635,0.03481505
461,60,0.5,30,0.752255969,0.313727903,0.170552898,0.408827807,52.15732914,91.88178496,0.389333644,16.10103254,33.44362046,0.776301314,0.0653408
462,60,0.5,30,0.784225984,0.316227766,0.150987636,0.361564983,59.06061442,95.00302735,0.346602816,14.27706963,38.88227495,0.834819748,0.05392636
463,60,0.5,30,0.725820022,0.267261242,0.218756303,0.50020125,55.06842316,93.79654248,0.362417753,20.53375849,45.15992721,0.667607639,0.04136068
464,60,0.5,30,0.757902263,0.30656967,0.318285768,0.615080006,62.85527604,117.3327053,0.455421623,17.10925635,58.54866808,0.785623433,0.06353745
465,60,0.5,30,0.785582178,0.316227766,0.301975273,0.572957795,53.36045808,100.763084,0.477653956,14.22982786,39.72462631,0.957238965,0.05789888
466,60,0.5,30,0.697468411,0.229415734,0.207545578,0.502594557,51.27578062,107.5140662,0.498205578,18.83760798,41.55513371,0.639025703,0.03884844
467,60,0.5,30,0.724535006,0.295656198,0.428234729,0.784142904,60.9887927,122.7746687,0.558570311,18.45202302,37.00115918,0.695898355,0.05969403
468,60,0.5,30,0.742659835,0.316227766,0.452962909,0.794179167,54.14288833,98.39109604,0.471170469,11.09766167,21.36675285,1.001195166,0.04276238
469,60,0.5,40,0.805995977,0.577350269,0.367552597,0.636619772,69.37761365,125.7211367,0.431043784,30.21085885,82.65626215,0.799260154,0.08626095
470,60,0.5,40,0.851298292,0.680413817,0.579959658,0.816927334,128.7772939,226.1679115,0.451286413,52.54242629,119.4138306,0.641629533,0.1646537
471,60,0.5,40,0.904997185,0.707106781,0.562697698,0.753129277,100.4568708,171.97315,0.441872192,35.0873056,91.03306682,0.845212005,0.1215669
472,60,0.5,40,0.767663317,0.40824829,0.259898934,0.530516477,64.86236246,117.0925511,0.411713916,18.91672474,48.73906691,0.800237701,0.06730237
473,60,0.5,40,0.807248973,0.440225453,0.314147679,0.572464291,73.27909889,128.220079,0.433637861,25.62624521,83.07823638,0.856471144,0.1229962
474,60,0.5,40,0.849754169,0.447213595,0.284705017,0.509295818,68.46493376,131.8722131,0.438103819,26.03844287,68.53457223,0.818802476,0.09059028
475,60,0.5,40,0.761618473,0.333333333,0.282942121,0.565884242,61.41294713,128.7633589,0.445693541,23.5620109,56.83467302,0.743420966,0.06565083
476,60,0.5,40,0.798975017,0.421075961,0.549819004,0.840001313,73.67928092,158.4566877,0.579635477,30.04214164,67.08501698,0.772302021,0.109671
477,60,0.5,40,0.836593725,0.447213595,0.569410035,0.821174538,77.49958179,127.5723081,0.424478285,28.40211822,68.48409338,0.813867357,0.09703534
478,60,0.5,40,0.718516797,0.301511345,0.157048432,0.405121673,49.57499824,92.37028281,0.380647505,17.3060267,53.86888678,0.917519954,0.04997334
479,60,0.5,40,0.752255969,0.313727903,0.170552898,0.408827807,59.73696788,112.0092076,0.443673275,16.24212202,39.6149694,0.804197683,0.1101975
480,60,0.5,40,0.784225984,0.316227766,0.150987636,0.361564983,56.13670717,106.5893465,0.407309377,17.96647105,52.93683827,0.854042436,0.07298366
481,60,0.5,40,0.725820022,0.267261242,0.218756303,0.50020125,60.89156528,124.4206608,0.502846978,19.6661454,64.8085204,0.799382463,0.06797906
482,60,0.5,40,0.757902263,0.30656967,0.318285768,0.615080006,70.05743463,128.1298387,0.500540017,25.01039307,62.09990858,0.840348364,0.08785881
483,60,0.5,40,0.785582178,0.316227766,0.301975273,0.572957795,65.83749922,135.9722469,0.538599023,18.09661412,59.0331201,0.951078355,0.07900231
484,60,0.5,40,0.697468411,0.229415734,0.207545578,0.502594557,57.35729594,117.4293799,0.539227857,21.02431873,43.70571633,0.638910511,0.06268484
485,60,0.5,40,0.724535006,0.295656198,0.428234729,0.784142904,66.88430095,140.7701368,0.536550166,25.18836743,60.7404009,0.637064572,0.08650948
486,60,0.5,40,0.742659835,0.316227766,0.452962909,0.794179167,62.86649838,135.4039646,0.603250229,19.82941679,69.3692733,1.08863918,0.06673221
